server_id,date,start_time,stop_time,action,timezone,title
# Instructions:
# - server_id   : must match a key in config/servers.yaml
# - date        : YYYY-MM-DD format
# - start_time  : HH:MM (24-hour, local time of the timezone column)
# - stop_time   : HH:MM (24-hour, local time of the timezone column)
# - action      : "recording" or "streaming"
# - timezone    : IANA timezone string, e.g. America/New_York, America/Los_Angeles, UTC
# - title       : (optional) Stream title suffix. Leave blank for default title logic.
#
# Example rows (delete these and replace with your schedule):
win-server-1,2026-03-02,09:00,12:00,streaming,America/New_York,Palm Sunday - Divine Liturgy
win-server-1,2026-03-04,14:00,17:00,streaming,America/New_York,
mac-server-1,2026-03-03,10:00,15:00,streaming,America/Los_Angeles,Arabic Bible Study
